observed_data,opacity,M_dust_limit,A_V_limit
A2744-45924,Orion,inf,2.12380949778004
A2744-45924,Orion,1000000.0,2.12380949778004
A2744-45924,Orion,100000.0,1.8146877357527056
A2744-45924,Orion,10000.0,1.4490613550478917
A2744-45924,ISM,inf,1.5604807409360175
A2744-45924,ISM,1000000.0,1.5604807409360175
A2744-45924,ISM,100000.0,1.3537962027815125
A2744-45924,ISM,10000.0,1.0934389318087134
A2744-45924,SMC,inf,1.0464143127263763
A2744-45924,SMC,1000000.0,1.0464143127263763
A2744-45924,SMC,100000.0,0.9509031687052207
A2744-45924,SMC,10000.0,0.8237114534870557
RUBIES-BLAGN-1,Orion,inf,3.2027196561990463
RUBIES-BLAGN-1,Orion,1000000.0,2.861808739206081
RUBIES-BLAGN-1,Orion,100000.0,2.587560947022639
RUBIES-BLAGN-1,Orion,10000.0,2.2255617072579064
RUBIES-BLAGN-1,ISM,inf,2.2823761631683035
RUBIES-BLAGN-1,ISM,1000000.0,2.1338066545084655
RUBIES-BLAGN-1,ISM,100000.0,1.8979572081964544
RUBIES-BLAGN-1,ISM,10000.0,1.6921774193370982
RUBIES-BLAGN-1,SMC,inf,1.528595046609799
RUBIES-BLAGN-1,SMC,1000000.0,1.4493198624790091
RUBIES-BLAGN-1,SMC,100000.0,1.3382712483924795
RUBIES-BLAGN-1,SMC,10000.0,1.20368315077708
